row col alpha observed common alphas.se$se
132 M.minima N.rotundifolia 0.00160544122328924 FALSE FALSE 0.00433866380037331
133 P.airoides N.rotundifolia 0.750277017240324 FALSE FALSE 0.214507680610384
134 P.canescens N.rotundifolia 2.24552655567987 FALSE FALSE 0.801708519115804
135 T.cyanopetala N.rotundifolia 0.616967557506863 FALSE FALSE 0.125783537339079
136 V.rosea N.rotundifolia -0.0482895446193364 FALSE FALSE 0.0246484970298033
137 A.calendula P.airoides 0.0143639270689257 TRUE TRUE 0.00153643523098255
138 H.glabra P.airoides 0.233569306796957 TRUE TRUE 0.0735041607956605
139 H.glutinosum P.airoides 0.465459914837572 TRUE TRUE 0.0462349953288386
140 M.minima P.airoides -0.0152960601550371 TRUE TRUE 0.00122438011299696
141 P.airoides P.airoides 0.766968698363458 TRUE TRUE 0.0239263123522151
142 P.canescens P.airoides 4.83911637693108 TRUE TRUE 0.447250823221639
143 T.cyanopetala P.airoides 0.969743069313014 TRUE TRUE 0.051667597269781
144 V.rosea P.airoides -0.0334177869327445 TRUE TRUE 0.00472706832591653
145 A.calendula P.canescens -0.00941262826066385 TRUE FALSE 0.000976835799166905
146 H.glabra P.canescens -0.0397873267154044 FALSE FALSE 0.00181695750743762
147 H.glutinosum P.canescens -0.237358585576156 FALSE FALSE 0.0331614552286623
148 M.minima P.canescens 0.00770998530604435 FALSE FALSE 0.000469564005724932
149 P.airoides P.canescens -0.236136615729677 FALSE FALSE 0.0433365598760939
150 P.canescens P.canescens -1.96068568065091 TRUE FALSE 0.093425680493787
151 T.cyanopetala P.canescens -0.500197001609024 FALSE FALSE 0.0259469613574649
152 V.rosea P.canescens 0.0244765849874974 FALSE FALSE 0.00616441533059173
153 A.calendula P.debilis 0.00150836023121276 TRUE TRUE 0.00605476681548853
154 H.glabra P.debilis -0.090033110606939 TRUE TRUE 0.00573469691535066
155 H.glutinosum P.debilis -0.423849051053757 TRUE TRUE 0.0872046075420779
156 M.minima P.debilis 0.0126852608953742 TRUE TRUE 0.00231054816141055
157 P.airoides P.debilis -1.46107318077982 FALSE TRUE 0.212518525761923
158 P.canescens P.debilis -9.93990107224985 FALSE TRUE 1.07845094327335
159 T.cyanopetala P.debilis -1.17120972914258 FALSE TRUE 0.128594434502709
160 V.rosea P.debilis 0.193484151063048 TRUE TRUE 0.0252624767067816
161 A.calendula P.gaudichaudii -0.0725838811666763 TRUE TRUE 0.00406644244332229
162 H.glabra P.gaudichaudii -0.393456804748915 FALSE TRUE 0.0241008295533122
163 H.glutinosum P.gaudichaudii -1.38056374242431 FALSE TRUE 0.152647307948087
164 M.minima P.gaudichaudii 0.0774986946112117 TRUE TRUE 0.00725255198165585
165 P.airoides P.gaudichaudii -2.50359788837498 TRUE TRUE 0.152119964088013
166 P.canescens P.gaudichaudii -17.573744693872 FALSE TRUE 0.8629101235037
167 T.cyanopetala P.gaudichaudii -4.46328279010939 FALSE TRUE 0.225173440930946
168 V.rosea P.gaudichaudii 0.183297881836149 TRUE TRUE 0.010921053735394
169 A.calendula P.lessonni -0.0170078519667281 FALSE TRUE 0.00209592610282616
170 H.glabra P.lessonni -0.0382535851239269 FALSE TRUE 0.0342015589759728
171 H.glutinosum P.lessonni -0.546411370050245 TRUE TRUE 0.071776284992248
