datasource,plotID,block,light,focal,seeds,competition,A.calendula,A.elegantissima,B.semibarbata,C.colorata,C.eremea,C.hispidula,C.pseudevax,Cheilanthes.sp,D.glochidiatus,D.macrantha,Erodium.cygnorum,G.berardiana,G.tenuifolia,H.glabra,H.glutinosum,M.minima,M.polymorpha,N.rotundifolia,P.airoides,P.canescens,P.debilis,P.dubia,P.gaudichaudii,P.lessonni,P.muelleriana,S.cassiniana,S.lineare,T.cyanopetala,V.rosea,Vulpia.sp,W.acuminata,W.gracilenta
CW,6J,6,Shade,M.minima,3,Comp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CW,10A,10,Open,P.airoides,167,Comp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CW,10C,10,Shade,P.airoides,437,Comp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
CW,10H,10,Shade,P.airoides,249,Comp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CW,10I,10,Open,P.airoides,189,Comp,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CW,12A,12,Shade,P.airoides,410,Comp,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CW,12C,12,Shade,P.airoides,0,Comp,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CW,12D,12,Open,P.airoides,0,Comp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CW,12F,12,Open,P.airoides,215,Comp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CW,12I,12,Shade,P.airoides,143,Comp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CW,12M,12,Shade,P.airoides,111,Comp,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CW,15A,15,Open,P.airoides,155,Comp,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CW,15F,15,Shade,P.airoides,39,Comp,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
CW,15I,15,Open,P.airoides,43,Comp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CW,15J,15,Shade,P.airoides,187,Comp,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
CW,2A,2,Shade,P.airoides,247,Comp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
CW,2B,2,Open,P.airoides,144,Comp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
CW,2C,2,Shade,P.airoides,46,Comp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
CW,2D,2,Open,P.airoides,103,Comp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
