order,date,code,plot,treatment,indiv,target,background,neighbours_number,fruits,unviable_seeds,seeds,,,,,,,,
243,2/5/15,122.3,122,C,3,DIER,SIAL,1,115,868,572.88,,,,,,,,
244,2/5/15,122.4,122,C,4,DIER,SIAL,4,71,536,353.76,,,,,,,,
245,2/5/15,122.5,122,C,5,SIAL,DIER,1,102,2612,783.6,,,,,,,,
246,2/17/15,124.1,124,C,1,SIAL,NA,0,812,20795,6238.5,,,,,,,,
247,2/17/15,124.2,124,C,2,DIER,NA,0,108,815,537.9,,,,,,,,
248,2/17/15,124.3,124,C,3,DIER,NA,0,410,3093,2041.38,,,,,,,,
249,2/17/15,124.4,124,C,4,CAAR,MEPO,1,86,826,404.74,,,,,,,,
250,2/17/15,124.5,124,C,5,SIAL,SIAL,3,105,2689,806.7,,,,,,,,
251,2/17/15,124.6,124,C,6,SIAL,SIAL,3,147,3765,1129.5,,,,,,,,
252,2/17/15,124.7,124,C,7,DIER,SIAL,2,54,407,268.62,,,,,,,,
253,2/17/15,124.8,124,C,8,DIER,SIAL,2,58,438,289.08,,,,,,,,
254,2/17/15,124.9,124,C,9,DIER,MEPO,2,315,2376,1568.16,,,,,,,,
255,2/17/15,126.1,126,C,1,CAAR,MEPO,3,67,643,315.07,,,,,,,,
256,2/17/15,126.2,126,C,2,DIER,MEPO,3,43,324,213.84,,,,,,,,
257,2/17/15,127.1,127,C,1,SIAL,MEPO,1,440,11268,3380.4,,,,,,,,
258,2/17/15,127.2,127,C,2,SIAL,MEPO,1,1112,28478,8543.4,,,,,,,,
259,2/17/15,127.3,127,C,3,DIER,NA,0,286,2158,1424.28,,,,,,,,
260,2/17/15,129.1,129,C,1,DIER,NA,0,132,996,657.36,,,,,,,,
261,2/17/15,129.2,129,C,2,CAAR,NA,0,107,1028,503.72,,,,,,,,
262,2/17/15,129.3,129,C,3,CAAR,NA,0,69,663,324.87,,,,,,,,
263,2/17/15,129.4,129,C,4,DIER,BRMA,1,28,211,139.26,,,,,,,,
264,2/17/15,129.5,129,C,5,DIER,MACA,3,63,475,313.5,,,,,,,,
265,2/17/15,131.1,131,C,1,DIER,NA,0,318,2399,1583.34,,,,,,,,
266,2/17/15,131.2,131,C,2,DIER,NA,0,430,3244,2141.04,,,,,,,,
267,2/17/15,131.3,131,C,3,SIAL,BRMA,4,24,615,184.5,,,,,,,,
268,2/17/15,131.4,131,C,4,CAAR,BRMA,5,9,86,42.14,,,,,,,,
269,2/17/15,131.5,131,C,5,SIAL,BRMA,3,128,3278,983.4,,,,,,,,
270,2/17/15,131.6,131,C,6,SIAL,PARO,2,20,512,153.6,,,,,,,,
271,2/17/15,132.1,132,C,1,SIAL,BOOF,1,158,4046,1213.8,,,,,,,,
272,2/17/15,132.2,132,C,2,CAAR,BRMA,1,9,86,42.14,,,,,,,,
273,2/17/15,132.3,132,C,3,CAAR,MEPO,1,19,182,89.18,,,,,,,,
274,2/17/15,132.4,132,C,4,DIER,BOOF,1,189,1426,941.16,,,,,,,,
275,2/17/15,132.5,132,C,5,DIER,BOOF,1,241,1818,1199.88,,,,,,,,
276,2/17/15,133.1,133,C,1,CAAR,CABU,44,58,557,272.93,,,,,,,,
277,2/17/15,133.2,133,C,2,SIAL,CABU,16,18,461,138.3,,,,,,,,
278,2/17/15,136.1,136,C,1,CAAR,PARO,2,133,1277,625.73,,,,,,,,
279,2/17/15,136.2,136,C,2,DIER,PARO,3,82,619,408.54,,,,,,,,
280,2/17/15,136.3,136,C,3,DIER,PARO,3,27,204,134.64,,,,,,,,
281,2/17/15,136.4,136,C,4,SIAL,PARO,4,98,2510,753,,,,,,,,
282,2/17/15,136.5,136,C,5,CAAR,PARO,4,8,77,37.73,,,,,,,,
283,2/17/15,136.6,136,C,6,SIAL,PARO,2,507,12984,3895.2,,,,,,,,
284,2/17/15,137.1,137,C,1,DIER,CABU,14,104,785,518.1,,,,,,,,
285,2/17/15,137.2,137,C,2,DIER,BRMA,7,18,136,89.76,,,,,,,,
286,2/17/15,137.3,137,C,3,CAAR,MACA,1,38,365,178.85,,,,,,,,
287,2/17/15,137.4,137,C,4,DIER,VISA,4,38,287,189.42,,,,,,,,
288,2/17/15,137.5,137,C,5,CAAR,BRMA,2,22,211,103.39,,,,,,,,
289,2/17/15,137.6,137,C,6,DIER,BRMA,7,20,151,99.66,,,,,,,,
290,2/17/15,138.1,138,C,1,SIAL,VISA,5,17,435,130.5,,,,,,,,
291,2/17/15,138.2,138,C,2,SIAL,VISA,5,9,230,69,,,,,,,,
292,2/17/15,138.3,138,C,3,DIER,VISA,5,60,453,298.98,,,,,,,,
293,2/17/15,138.4,138,C,4,CAAR,CABU,5,22,211,103.39,,,,,,,,
294,2/17/15,138.5,138,C,5,SIAL,VISA,3,79,2023,606.9,,,,,,,,
295,2/17/15,138.6,138,C,6,CAAR,VISA,1,104,999,489.51,,,,,,,,
296,2/17/15,139.1,139,C,1,CAAR,BRMA,1,38,365,178.85,,,,,,,,
297,2/17/15,139.2,139,C,2,CAAR,PARO,8,10,96,47.04,,,,,,,,
298,2/17/15,139.3,139,C,3,SIAL,PARO,5,15,384,115.2,,,,,,,,
299,2/17/15,139.4,139,C,4,SIAL,BRMA,1,12,307,92.1,,,,,,,,
300,2/17/15,139.5,139,C,5,SIAL,PARO,7,115,2945,883.5,,,,,,,,
301,2/17/15,139.6,139,C,6,SIAL,PARO,7,35,896,268.8,,,,,,,,
